标题,播放数,链接
『1w+热评』欧美万评撩耳男声（单曲循环）,3000万,https://music.163.com/playlist?id=2703033645
[欧美私人订制] 最懂你的欧美日推,1069万,https://music.163.com/playlist?id=2829816518
欧美万评优质女声萦绕耳畔忆于心间,879万,https://music.163.com/playlist?id=2748492595
精选｜Cover的那些循环歌曲,2506万,https://music.163.com/playlist?id=2715933347
你要安静的优秀，悄无声息的坚强,512万,https://music.163.com/playlist?id=2748990852
越长大越觉得 保持联系也是一件很难的事,886万,https://music.163.com/playlist?id=2766896532
温柔的晚风和音乐，一定能吹散许多不愉快吧,636万,https://music.163.com/playlist?id=2864076078
2019上半年度最热新歌TOP50,1079万,https://music.163.com/playlist?id=2877629036
你会爱上这个流行华语歌单,1684万,https://music.163.com/playlist?id=2709514173
「2019中国新说唱第二季」EP11更新,535万,https://music.163.com/playlist?id=2769215801
网络热播的那些神仙声音（持续更新）,898万,https://music.163.com/playlist?id=2796821320
每首值得单曲循环播放的歌,544万,https://music.163.com/playlist?id=2786270478
网 易 10w 评 论 的 好 歌,1318万,https://music.163.com/playlist?id=2782343183
2019年七月最热新歌TOP50,871万,https://music.163.com/playlist?id=2913136877
100味夜晚催眠男声 唱出谁的孤单心事,868万,https://music.163.com/playlist?id=2815616232
趁时光还未老，去见你想见的人吧,1114万,https://music.163.com/playlist?id=2729966026
这世界很苦，但我想做你的那颗糖,570万,https://music.163.com/playlist?id=2904280967
用音乐保持你每天的嘴角上扬,789万,https://music.163.com/playlist?id=2846054862
『失 恋 必 听 歌 曲』你会突然听懂这些歌!,945万,https://music.163.com/playlist?id=2780667664
环游遍了整个星系，找不到比你更亮的星星,801万,https://music.163.com/playlist?id=2894197518
2019年四月最热新歌TOP50,1446万,https://music.163.com/playlist?id=2779453332
听完这些歌，恭喜你获得了与孤独和解的能力,616万,https://music.163.com/playlist?id=2926950647
亲爱的热爱的 电视剧原声带,629万,https://music.163.com/playlist?id=2870013041
国产动画电影||看的不只是情怀,540万,https://music.163.com/playlist?id=2872501228
“复古向” | 中年少男少女的怀旧日常,1563万,https://music.163.com/playlist?id=2722414276
十年前的歌还在，陪你一起听歌的人呢,1933万,https://music.163.com/playlist?id=2850086850
